date,headline,summary,sector,sentiment,emotion,price_change,trading_volume_crore
2025-03-15,Strong demand boosts Real Estate sector and Sobha shares.,Sobha in the Real Estate sector has seen a rise of 2.85% due to merger and acquisition rumors. Market sentiment is Positive with Confidence prevailing.,Real Estate,Positive,Confidence,2.85,883.12
2024-10-16,Technology stocks rise following global market trends.,Coforge in the Technology sector has seen a rise of 0.67% due to inflation concerns. Market sentiment is Positive with Confidence prevailing.,Technology,Positive,Confidence,0.67,531.96
2024-06-17,Market correction hits Technology stocks after geopolitical tensions.,Mindtree in the Technology sector has seen a fall of -0.86% due to technology adoption. Market sentiment is Neutral with Caution prevailing.,Technology,Neutral,Caution,-0.86,608.18
2024-10-05,Banking companies see rise after technology adoption.,Canara Bank in the Banking sector has seen a rise of 5.36% due to regulatory changes. Market sentiment is Positive with Caution prevailing.,Banking,Positive,Caution,5.36,312.42
2025-06-19,Market sentiment shifts on sector-specific regulations affecting Infrastructure.,NCC in the Infrastructure sector has seen a rise of 2.63% due to infrastructure spending boost. Market sentiment is Positive with Confidence prevailing.,Infrastructure,Positive,Confidence,2.63,634.35
2025-05-27,"Investors await geopolitical tensions, Banking stocks volatile.",SBI in the Banking sector has seen a fall of -2.45% due to rising raw material costs. Market sentiment is Negative with Optimism prevailing.,Banking,Negative,Optimism,-2.45,996.87
2024-10-08,Mixed results from Energy sector after rising crude oil prices.,NTPC in the Energy sector has seen a rise of 4.44% due to rising crude oil prices. Market sentiment is Positive with Fear prevailing.,Energy,Positive,Fear,4.44,246.24
2024-07-10,"Eicher Motors reports strong quarterly earnings, boosting Automobile sector.",Eicher Motors in the Automobile sector has seen a rise of 6.24% due to currency fluctuations. Market sentiment is Positive with Caution prevailing.,Automobile,Positive,Caution,6.24,996.33
2024-09-25,"Ashoka Buildcon announces new product launch, impacting Infrastructure stocks.",Ashoka Buildcon in the Infrastructure sector has seen a rise of 0.82% due to rising crude oil prices. Market sentiment is Mixed with Fear prevailing.,Infrastructure,Mixed,Fear,0.82,904.78
2024-10-09,Pharma outlook positive on government policy reforms.,Torrent Pharma in the Pharma sector has seen a fall of -2.86% due to government policy reforms. Market sentiment is Negative with Confidence prevailing.,Pharma,Negative,Confidence,-2.86,566.05
2025-03-30,Shares of Coal India in Energy sector fall amid sector-specific regulations.,Coal India in the Energy sector has seen a fall of -5.99% due to sector-specific regulations. Market sentiment is Negative with Caution prevailing.,Energy,Negative,Caution,-5.99,914.02
2024-10-16,Persistent Systems leads Technology gains after government policy reforms.,Persistent Systems in the Technology sector has seen a rise of 0.59% due to strong export data. Market sentiment is Mixed with Caution prevailing.,Technology,Mixed,Caution,0.59,376.49
2025-04-26,Market reacts to currency depreciation in Real Estate sector.,Brigade Enterprises in the Real Estate sector has seen a fall of -6.42% due to sector-specific regulations. Market sentiment is Negative with Caution prevailing.,Real Estate,Negative,Caution,-6.42,337.03
2024-12-10,"Regulatory changes impact Automobile sector, stocks fall.",Bosch in the Automobile sector has seen a fall of -5.83% due to global market trends. Market sentiment is Negative with Caution prevailing.,Automobile,Negative,Caution,-5.83,634.73
2024-10-21,"Steel Authority announces management change, impacting Metals stocks.",Steel Authority in the Metals sector has seen a rise of 3.23% due to supply chain disruptions. Market sentiment is Positive with Uncertainty prevailing.,Metals,Positive,Uncertainty,3.23,349.37
2025-05-06,"Cipla faces challenges amid supply chain disruptions, shares fall.",Cipla in the Pharma sector has seen a fall of -0.72% due to supply chain disruptions. Market sentiment is Neutral with Uncertainty prevailing.,Pharma,Neutral,Uncertainty,-0.72,609.34
2024-12-22,Weakness in Metals drags market down amid better-than-expected quarterly results.,JSW Steel in the Metals sector has seen a rise of 3.9% due to better-than-expected quarterly results. Market sentiment is Positive with Uncertainty prevailing.,Metals,Positive,Uncertainty,3.9,476.03
2024-07-12,"Persistent Systems faces challenges amid merger and acquisition rumors, shares rise.",Persistent Systems in the Technology sector has seen a rise of 2.14% due to merger and acquisition rumors. Market sentiment is Positive with Caution prevailing.,Technology,Positive,Caution,2.14,281.08
2025-02-18,Strong demand boosts FMCG sector and HUL shares.,HUL in the FMCG sector has seen a rise of 1.83% due to inflation concerns. Market sentiment is Positive with Caution prevailing.,FMCG,Positive,Caution,1.83,555.76
2024-10-07,Weakness in Telecom drags market down amid regulatory changes.,Vodafone Idea in the Telecom sector has seen a fall of -6.08% due to regulatory changes. Market sentiment is Negative with Uncertainty prevailing.,Telecom,Negative,Uncertainty,-6.08,807.09
2024-05-31,FMCG sector rallies on regulatory changes.,ITC in the FMCG sector has seen a rise of 2.83% due to sector-specific regulations. Market sentiment is Mixed with Optimism prevailing.,FMCG,Mixed,Optimism,2.83,416.62
2025-04-27,Market reacts to consumer demand recovery in Banking sector.,ICICI Bank in the Banking sector has seen a rise of 1.48% due to sector-specific regulations. Market sentiment is Positive with Fear prevailing.,Banking,Positive,Fear,1.48,251.27
2024-05-20,Automobile sector rallies on interest rate hike.,Bajaj Auto in the Automobile sector has seen a rise of 0.65% due to currency depreciation. Market sentiment is Positive with Fear prevailing.,Automobile,Positive,Fear,0.65,152.66
2024-03-25,Market correction hits Pharma stocks after infrastructure spending boost.,Sun Pharma in the Pharma sector has seen a rise of 2.86% due to infrastructure spending boost. Market sentiment is Mixed with Fear prevailing.,Pharma,Mixed,Fear,2.86,748.3
2024-12-23,Positive cues from Infrastructure sector as Larsen & Toubro fall.,Larsen & Toubro in the Infrastructure sector has seen a fall of -4.46% due to rising crude oil prices. Market sentiment is Negative with Uncertainty prevailing.,Infrastructure,Negative,Uncertainty,-4.46,148.52
2024-02-24,Ashoka Buildcon stock fall after management change.,Ashoka Buildcon in the Infrastructure sector has seen a fall of -2.63% due to tax reforms. Market sentiment is Negative with Uncertainty prevailing.,Infrastructure,Negative,Uncertainty,-2.63,903.28
2025-04-27,"Investors await technology adoption, Pharma stocks volatile.",Dr. Reddy's in the Pharma sector has seen a fall of -5.48% due to merger and acquisition rumors. Market sentiment is Negative with Optimism prevailing.,Pharma,Negative,Optimism,-5.48,577.32
